author,title,lyrics,song_id
Tam ca,Tiếng Ca Đàn Chim Việt,"Mênh mông hương lúa vàng
Ngát thơm khói lam chiều
Êm đềm ngân nga tiếng tiêu
Dòng nước tắm mát cánh đồng xanh
Uốn lượn quanh qua làng thôn, chợ quê
Ban mai tia nắng hồng lá rơi lối em về
Thu vàng mang bao vấn vương
Tà áo lướt thướt tóc vờn bay
Theo làn mây khi chiều buông đồng xanh
Yêu bến quê rộn vang vui ngày mùa
Bay cò bay hương lúa ngát nồng say
Trâu lang thang qua triền đề chiều chiều
Tuổi thơ nào tíu tít ánh trăng rơi
Tung cánh chim nơi bờ tre đầu làng
Mang hồn quê ôi tiếc nuối ngày xanh
Bao yêu thương ngân vang theo cung đàn
Xa tuổi hồng ngày thắm hát bên em
Hương xuân ngát xanh
Kìa bướm ong bay rập rờn
Muôn chim chiều ríu rít hót hoan ca
Em nhớ về chốn quê qua đầu làng
Nhặt *** tôi cánh mai rơi
Em nhớ về lối thu qua đò chiều
Nhặt *** tôi nhánh hoa xưa.
 
",10
ERIK,Yêu Đương Khó Quá Thì Chạy Về Khóc Với Anh,"Mùi hương hoa Diên Vĩ hay là hương tóc mềm
Ngàn vì sao chẳng sáng hơn đôi mắt của em
Thật đẹp đến trăng thẹn thùng phải nấp sau mây
Vậy thì cớ sao a đây lại nỡ buông tay
ừ thì anh không muốn phải nhìn thấy em buồn
Chuyện tình yêu nếu như không thể nắm thì buông
Tự nhiên không biết vì lẽ gì
Cứ lại tự kìm lòng suốt thôi
Chorus:
Cây không muốn lá rời cành
Khi lá vẫn còn xanh
Yêu đương khó quá thì chạy về khóc với anh
Một người luôn yêu em nhất
Chắc chắn sẽ không bỏ đi
Khiến em phải buồn được đâu
Phong ba sóng gió phủ đầu
Anh vẫn đứng đằng sau
Tình yêu có duyên thì tự tìm đến với nhau
Dù sao anh cũng vui lòng
Làm người anh trai đến suốt đời này được không?
Verse2:
ừ thì cây chỉ muốn giữ chặt lá bên đời
Từng sợ 1 cơn gió kia sẽ đi đến dạo chơi
Sợ rằng cơn gió chợt vô tình
Cây ngậm ngùi phải nhìn lá rơi
Chorus:
Cây không muốn lá rời cành
Khi lá vẫn còn xanh
Yêu đương khó quá thì chạy về khóc với anh
Một người luôn yêu em nhất
Chắc chắn sẽ không bỏ đi
Khiến em phải buồn được đâu
Phong ba sóng gió phủ đầu
Anh vẫn đứng đằng sau
Tình yêu có duyên thì tự tìm đến với nhau
Dù sao anh cũng vui lòng
Làm người anh trai đến suốt đời này được không?
END:
Dù sao a cũng đây rồi
Làm người theo em đến hết đời này mà thôi
 
",11
Đình Dũng,Đế Vương,"Một bậc quân vương mang trong con tim hình hài đất nước
Ngỡ như dân an ta sẽ chẳng bao giờ buồn
Nào ngờ một hôm ngao du nhân gian chạm một ánh mắt
Khiến cho ta say ta mê như chốn thiên đường
Trời cao như đang trêu ngươi thân ta khi bông hoa ấy 
Trót mang con tim trao cho một nam nhân thường 
Giận lòng ta ban cho bông hoa thơm hồi về cung cấm 
Khiến em luôn luôn bên ta mãi mãi không buông 
Mà nào ngờ đâu thân em nơi đây tâm trí nơi nào ?
Nhìn về quê hương em ôm tương tư nặng lòng biết bao 
Một người nam nhân không vinh không hoa mà có lẽ nào ?
Người lại yêu thương quan tâm hơn ta một Đế Vương sao ? 
Giọt lên Quân Vương không khi nao rơi khi nước chưa tàn
Mà tình chưa yên nên vương trên mi giọt buồn chứa chan
Đành lòng buông tay cho em ra đi với mối tình vàng
Một bậc quân vương uy nghiêm oai phong nhưng tim nát tan
 
",12
Khói,Là Do Em Xui Thôi,"Bài hát: Là Do Em Xui Thôi - Khói, Sofia (Đan Trang), Châu Đăng Khoa
Lộp độp từng hạt mưa, thả mình trên gương cửa
Rồi bất lực trôi theo hoài niệm lăn dài dưới tường xưa
Tưởng chưa thể quên nhưng mà đâu còn nhớ
Ngoại trừ mỗi lời hứa yêu nhau đến khi nào còn thở
Ừ thì ta đã lỡ chuyến xe về mà không hay
Trong tay em giờ là chiếc buồn cùng ai khác vậy
Vẫn ngân lên câu hát ấy, vòng hợp âm, khúc nhạc này
Hay nhắc cho ai khác thấy nay thanh xuân tóc đã bạc đầy.
Sofia:
Chẳng một ai quan tâm em đâu em ơi, nên em chớ rơi lệ
Hứa rằng em sẽ vui lên dẫu không ai đón đưa về
Buồn làm chi em ơi mọi muộn phiền giờ thành chuyện cũ qua rồi
Họ đã quên, em còn nhớ chi em ơi
Chuyện tình yêu đôi khi chỉ là chuyện một người lừa dối một người
Hứa hẹn cho vui thôi em ơi do em cả tin rồi
Bởi vì em xứng đáng tìm được một người tuyệt vời nhất trên đời
Nếu mà không được là do em xui thôi
Ver Rap 2:
Ừ thì cuộc đời này chỉ toàn là dối trá
Điều gì mà lại chả phải phôi pha
Yêu thương hứa hẹn nhiều thế rồi mà
Lời nói đều vô nghĩa qua môi cả
Ừ thì hạnh phúc cũng chỉ để trôi xa
Giận hờn, sao luôn lấy cái tôi ra?
Thôi đi, em giờ đã mệt mỏi quá rồi... thì.
Sofia:
Chẳng một ai quan tâm em đâu em ơi, nên em chớ rơi lệ
Hứa rằng em sẽ vui lên dẫu không ai đón đưa về
Buồn làm chi em ơi mọi muộn phiền giờ thành chuyện cũ qua rồi
Họ đã quên, em còn nhớ chi em ơi
Chuyện tình yêu đôi khi chỉ là chuyện một người lừa dối một người
Hứa hẹn cho vui thôi em ơi do em cả tin rồi
Bởi vì em xứng đáng tìm được một người tuyệt vời nhất trên đời
Nếu mà không được là do em xui thôi
Ver Rap 3:
Em nhấc bước chân nặng nề, dõi theo từng con phố vắng
Đường về hóa lê thê vì lòng kia trĩu nặng
Em ngước lên trời tự hỏi rằng mình đã làm điều gì sai chăng? 
Em ước chọn lý trí thay vì để con tim phải thắng
Em khóc cho những thứ mà mình từng mơ
Những kế hoạch mà em đang tự nhủ lòng mình đừng nhớ
Em lại khóc cho chuyện tình không may từng lỡ
Em khóc thật nhiều nhận lại chả có gì ngoài *** ba hững hờ
 
",13
Anh Tú,"Tìm Được Nhau Khó Thế Nào (Original Movie Soundtrack From ""Chìa Khóa Trăm Tỷ”)","Bài hát: Tìm Được Nhau Khó Thế Nào (Original Movie Soundtrack From ""Chìa Khóa Trăm Tỷ”) - Anh Tú (The Voice)
Có nói bao nhiêu, cũng chẳng ý nghĩa gì
Có khóc thật nhiều cũng chỉ nặng nề đôi mi
Lòng càng níu, trái tim càng đau nhiều, 
Bởi giờ đây, còn mang thật nhiều thương yêu
Nào có biết mai sau, sẽ như thế nào
Chỉ biết giờ đây mình chẳng còn cầm tay nhau
Là bao lâu, để có thể quên tên nhau
Về sau, có trách than đôi câu?
Chorus
Tìm được nhau khó đến vậy, sao giờ đây cất bước buông tay
Gặp được nhau khó đến vậy sao rời đi chẳng quay ngoảnh lại
Tại sao không thể thấu hiểu, khi tim mình vẫn còn yêu
Sao để đôi môi nặng lời, sao lại khiến nước mắt rơi
Gặp được nhau khó thế nào, bây giờ chỉ níu lấy đôi câu
Một người lặng lẽ quay đầu, một người nhìn ước ao nghẹn ngào
Cả bầu trời hai thế giới, trong buổi chiều vỡ làm đôi
Xin gửi yêu thương về nơi quá khứ, xa xôi
Verse 2
Nào có biết mai sau, sẽ như thế nào
Chỉ biết giờ đây, mình chẳng còn cầm tay nhau
Là bao lâu, để có thể quên tên nhau
Về sau, có trách than đôi câu?
Chorus
Tìm được nhau khó đến vậy, sao giờ đây cất bước buông tay
Gặp được nhau khó đến vậy sao rời đi chẳng quay ngoảnh lại
Tại sao không thể thấu hiểu, khi tim mình vẫn còn yêu
Sao để đôi môi nặng lời, sao lại khiến nước mắt rơi
Gặp được nhau khó thế nào, bây giờ chỉ níu lấy đôi câu
Một người lặng lẽ quay đầu, một người nhìn ước ao nghẹn ngào
Cả bầu trời hai thế giới, trong buổi chiều vỡ làm đôi
Xin gửi yêu thương về nơi quá khứ, xa xôi
Bridge:
Tìm được nhau khó đến vậy, sao giờ đây cất bước buông tay
Gặp được nhau khó đến vậy sao rời đi chẳng quay ngoảnh lại
Tại sao không thể thấu hiểu, khi tim mình vẫn còn yêu
Sao để đôi môi nặng lời, sao lại khiến nước mắt rơi
Chorus: 
Gặp được nhau khó thế nào, bây giờ chỉ níu lấy đôi câu
Một người lặng lẽ quay đầu, một người nhìn ướt đôi mắt nhòa
Cả bầu trời hai thế giới, trong buổi chiều vỡ làm đôi
Xin gửi yêu thương về nơi quá khứ, xa xôi
 
",14
Khắc Việt,Chạy Về Nơi Phía Anh,"Em thấy lẻ loi
Em sợ nỗi buồn
Anh sẽ ở đây làm em yêu đời
Em không tin vào ai
Điều này thật điên dại
Sẽ có anh ở đây
Làm em nghĩ lại
Điều em đang sợ
Chạy về nơi phía anh
Cánh tay này dài rộng lắm
Chạy về nơi phía anh
Trái tim này cũng ấm lắm
Chạy đi đâu hỡi em
Chỉ có bên anh
Là nơi an toàn nhất rồi
Đừng đi đâu
Chạy về nơi phía anh
 
",15
Hứa Kim Tuyền,Sài Gòn Đau Lòng Quá,"Cầm tấm vé trên tay
Em bay đến nơi xa
Sài Gòn đau lòng quá
Toàn kỷ niệm chúng ta.
Phải đi xa đến đâu?
Thời gian quên mất bao lâu?
Để trái tim em bình yên như ngày đầu tiên...
Mình đã từng hứa
Bên nhau hết tháng năm dài
Yêu đến khi ngừng hơi thở
Đến khi ngừng mơ...
Nắm chặt tay đi hết nhân thế này
Chân trời hằn chân ta
Vô tận là chúng ta... 
Mình đã từng hứa
Đi qua hết bao thăng trầm
Cho dẫu mai này xa rời
Vẫn không hề đổi dời...
Có ngờ đâu, đã sớm vỡ tan tành
Nhặt từng mảnh vỡ xếp vào vali... 
Cứ càng yêu, cứ càng đau
Cứ càng quên rồi lại muốn đi thật nhiều
Tokyo hay Seoul
Paris hay New York
Đi càng xa, càng không thể quên... 
Cầm tấm vé trên tay
Em bay đến nơi xa
Sài Gòn đau lòng quá
Toàn kỷ niệm chúng ta.
Phải đi xa đến đâu?
Thời gian quên mất bao lâu?
Để trái tim em bình yên như ngày đầu tiên... 
Ngày tôi chưa từng biết tôi sẽ yêu em nhiều như thế này
Để rồi khi ta cách xa tim này nát ra
Ngày người chưa đến mang theo giấc mơ, rồi lại bỏ rơi lúc tôi đang chờ...
Chờ người đến dịu xoa tổn thương tôi đã từng...
 
",16
Giang Jolee,Hoa Tàn Tình Tan,"Bài hát: Hoa Tàn Tình Tan - Giang Jolee
Anh chẳng thấy bầu trời trong xanh
Anh chẳng thấy tiếng chim trong lành
Như là giấc mơ mộng qua đây
Anh cất tất cả vào trong trái tim để dành
Yêu vội vã để rồi ra đi
Em không nói nhưng anh biết rồi
Sau lời nói em còn yêu anh
Là những dối lừa em đâu muốn anh bên cạnh
Hoa trên giấy không sương hoa vẫn nở
Thương ai rồi dù trắc chở vẫn thương
Yêu em quá nên anh đành nuông chiều
Cố giả vờ và mong em hiểu thấu
Chắc có lẽ anh đã sai lầm
Thương một người dù người ta đâu có thương
Hoa không tàn là hoa in trên giấy
Tình không tan là tình thấy trong mơ
 
",17
Phát Huy T4,Câu Hứa Chưa Vẹn Tròn,"Rồi người thương đến lúc cũng hóa thành lạ xa
Dù chờ mong bao năm người ta cũng chẳng về
Ngày biệt ly nước mắt đôi dòng chảy thành sông
Phải chi người thấu hết nỗi đau long mình mang
Từng câu hứa em khẽ bên tai vẫn chưa phai
Sợ những lúc men say đưa em về chốn này
Chẳng còn nhau đi qua bao đoạn đường vắng người
Trách thân anh không thể níu em dù một giây
Mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời
Lời nói trên môi cũng chỉ toàn là dối lừa
Tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng
Thương nhớ một người nơi chốn xa chẳng thương ta
Trời nay bỗng mưa đổ xuống làm anh tan nát lòng
Váy cưới xe hoa em bước đi theo chồng
Tình tan, duyên tàn, chúc em bên người ấy luôn ái ân
Người đã mang bao nhiêu yêu thương anh trao
Chỉ để lại đây mỗi nỗi nhớ vô vọng
Tình mình giờ cũng đã vỡ nát, con tim anh xơ xác
Nước mắt chảy thành dòng
Kỷ niệm ngày bên nhau anh xin giữ kín
Chẳng phải để tháng năm nhẹ trôi phai nhòa
Vội đến để rồi quay bước đi thôi
Không nói thêm một chia ly
Từng câu hứa em khẽ bên tai vẫn chưa phai
Sợ những lúc men say đưa em về chốn này
Chẳng còn nhau đi qua bao đoạn đường vắng người
Trách thân anh không thể níu em dù một giây
Mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời
Lời nói trên môi cũng chỉ toàn là dối lừa
Tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng
Thương nhớ một người nơi chốn xa chẳng thương ta
Trời nay bỗng mưa đổ xuống làm anh tan nát lòng
Váy cưới xe hoa em bước đi theo chồng
Tình tan, duyên tàn, chúc em bên người ấy luôn ái ân
Đêm se lạnh lê bước một mình phố thành thiếu em buồn tênh
Say giấc mộng nghe tiếng em về tiếng em cười đôi mình nồng ấm
Mình đã hứa yêu thật lâu suốt kiếp mãi không xa rời
Lời nói trên môi cũng chỉ toàn là dối lừa
Tình yêu xưa chỉ là quá khứ phải giữ sâu đáy lòng
Thương nhớ một người nơi chốn xa chẳng thương ta
Trời nay bỗng mưa đổ xuống làm anh tan nát lòng
Váy cưới xe hoa em bước đi theo chồng
Tình tan, duyên tàn, chúc em bên người ấy luôn ái ân
 
",18
Đình Dũng,Câu Hẹn Câu Thề,"Người đi mà chẳng nói một lời
Để anh chơi vơi giữa dòng đời
Lời yêu nay sao quá xa xôi
Lời thương giờ này cũng lặng trôi 
Nhận tin em sắp sống bên người
Mà em thương yêu đến cuối đời
Lòng anh như đau thắt em ơi
Làm sao để lệ thôi ngừng rơi. 
Hôm nay, em hạnh phúc rồi, em đã bên người, mà lòng em yêu. 
Em quên, câu hẹn câu thề, em hứa với người cả đời thương em. 
Em ơi! Chữ tình ngắn thôi
Mà sao anh phải kéo theo một đời
Em ơi! Em giờ có đôi 
Còn anh thì phải lẻ loi thật rồi
Khi xưa, hứa chẳng cách xa
Gừng cay muối mặn chẳng ham lụa là
Hôm nay, áo hồng gấm hoa
Tình xưa người trả, hết anh thật à?
 
",19
Masew,Ái Nộ,"Người đi xa có nhớ chăng dòng thư tay, lời hỏi thăm
Vài câu ca dưới ánh trăng mờ hôm đó 
Có ai đang trở về, lệ dần phai theo tháng năm
Lời biệt ly sao khó khăn, vùi đầu trong chăn gối 
Mong được nói hết tâm tư này
Đừng dối em ơi, đừng lừa em ơi
Đừng vờn con tim anh như trò đùa
Đừng hứa đôi ba lời cuội nhăng nha
Đừng để à í a í a
Đừng dối em ơi, toàn là văn thôi
1 lần đau thôi anh đủ mệt rồi
Đừng hứa thêm chi lệ dài trên mi
Đừng để anh hóa ma lai
Khói sương thật mơ màng, chết trong sự ngỡ ngàng
Đôi ba lời câu hình thức ta ngân nga để lại cho nàng
Rồi giờ này nàng cùng với ai?
Chẳng còn ngày nào mặn nồng với ta
Đời sang trang linh hồn lang thang
Phận này ngang ngang một mình lướt trên con đò
Tình tang tang giai điệu ngân vang
Từ biệt nhân gian à ý aa
 
",20
Vũ Hoàng,Ru Trọn Giấc Mơ (2021),"Một lần *** biết để rồi lưu luyến
Vấn vương lòng anh nợ duyên như kết se
Dẫu biết thế gian ưa gièm pha
Bao năm chứng minh cho tình ta
Tình anh trao em thật thiết tha
Bằng con tim yêu không dối lừa
Xóa tan trong anh nỗi nghi ngờ ta sẽ mãi ru trọn giấc mơ.
Em là thơ đến bên đời hiu quạnh
Cho cho lòng anh xóa tan mọi nỗi sầu
Mong tình đôi ta, bền vững lâu
Ta nguyện trao nhau tình thắm sâu
Anh ước mong giông tố tan mau
Sống bên nhau trọn kiếp này.
Rồi minh vui cưới họ hàng cô bác,
Chúc cho tình ta được trăm năm sắc son
Áo cưới thướt tha em làm dâu
Theo anh kết se duyên trầu cau
Từ đây đôi ta nguyện có nhau
Tình yêu như ban thêm phép màu
Đã qua bao nhiêu nỗi u sầu
Vui sống với nhau duyên bên lâu.
 
",21
Vũ Hoàng,Tâm Tư Của Anh (2021),"Đêm với mưa bên thềm một mình tôi cô đơn ngồi đây nhấp chén men nồng.
Buồn ấy không tên bao nhiêu đêm vẫn cứ tìm đến.
Do yêu em nhiều nên ghen với quá khứ của em.
Ta đã yêu nhau rồi tình mình bao lâu nay nồng say ấm áp đêm ngày.
Thầm cảm ơn em yêu tôi với tấm chân tình ấy.
Bên em tôi thật vui, chỉ mong yêu nhau suốt đời.
Nhưng em ơi, chúng ta đã gặp nhau khi em lỡ một lần đò.
Anh yêu em hơn chính bản thân anh nữa mà.
Nhưng làm sao anh vui khi mà chuyện tình xưa cũ cứ đến bên em tháng ngày.
Em hiểu cho tôi mà bởi vì khi quá yêu người ta ích kỷ cho mình.
Mà nói thế thôi tôi không mang oán hờn gì hết.
Đêm nay tôi buồn nên tôi dốc tâm tư của mình.
 
",22
Lệ Hồng,Mùa Thương Nhớ Mẹ,"Mùa thương giờ về đâu, hoa cúc trắng héo sầu
Con tìm lại ngày xưa, thơm hương dòng sữa võng trưa
Tìm trong đáy mắt hoàng hôn, bóng mẹ chờ con bên thềm
Cau vàng héo bơ vơ thương vôi trắng, ngẩn ngơ nhớ trầu
Mẹ yêu ơi! Mẹ giờ ở đâu? 
Một đời áo nâu sờn vai ngã màu
mà trong mắt mẹ ngàn sao đêm lấp lánh
Thương con! Một đời thương con chẳng lời thở than
Mẹ gánh cuộc đời, gánh cả một trời gian nan
Gió thu trút lá vàng, cúc trắng bàng hoàng chiều rơi
khói sương mẹ đã về trời
Mẹ để con ở lại, mẹ để con ở lại bên đời mồ côi. 
Gió lay thu trút lá vàng
Mái tranh còm cõi, bàng hoàng chiều rơi
Khói sương mẹ đã về trời
Để con ở lại, bên đời mồ côi...
 
",23
